,date,total_load,delta,factors
9830,2016-02-02 23:45:00+00:00,33539.715000000004,0.0,0.0
9831,2016-02-03 00:00:00+00:00,33544.465000000004,4.75,0.37638668779706924
9832,2016-02-03 00:15:00+00:00,33551.715000000004,7.25,0.5744849445323689
9833,2016-02-03 00:30:00+00:00,33558.715000000004,7.0,0.5546751188588389
9834,2016-02-03 00:45:00+00:00,33563.465000000004,4.75,0.37638668779706924
9835,2016-02-03 01:00:00+00:00,33567.715000000004,4.25,0.3367670364500093
9836,2016-02-03 01:15:00+00:00,33572.715000000004,5.0,0.3961965134705992
9837,2016-02-03 01:30:00+00:00,33577.965000000004,5.25,0.4160063391441292
9838,2016-02-03 01:45:00+00:00,33581.465000000004,3.5,0.27733755942941946
9839,2016-02-03 02:00:00+00:00,33584.965000000004,3.5,0.27733755942941946
9840,2016-02-03 02:15:00+00:00,33588.215000000004,3.25,0.2575277337558895
9841,2016-02-03 02:30:00+00:00,33592.215000000004,4.0,0.31695721077647937
9842,2016-02-03 02:45:00+00:00,33595.965000000004,3.75,0.2971473851029494
9843,2016-02-03 03:00:00+00:00,33599.715000000004,3.75,0.2971473851029494
9844,2016-02-03 03:15:00+00:00,33604.715000000004,5.0,0.3961965134705992
9845,2016-02-03 03:30:00+00:00,33609.215000000004,4.5,0.3565768621235393
9846,2016-02-03 03:45:00+00:00,33613.215000000004,4.0,0.31695721077647937
9847,2016-02-03 04:00:00+00:00,33617.215000000004,4.0,0.31695721077647937
9848,2016-02-03 04:15:00+00:00,33620.465000000004,3.25,0.2575277337558895
9849,2016-02-03 04:30:00+00:00,33623.965000000004,3.5,0.27733755942941946
9850,2016-02-03 04:45:00+00:00,33627.465000000004,3.5,0.27733755942941946
9851,2016-02-03 05:00:00+00:00,33630.965000000004,3.5,0.27733755942941946
9852,2016-02-03 05:15:00+00:00,33634.465000000004,3.5,0.27733755942941946
9853,2016-02-03 05:30:00+00:00,33637.965000000004,3.5,0.27733755942941946
9854,2016-02-03 05:45:00+00:00,33642.715000000004,4.75,0.37638668779706924
9855,2016-02-03 06:00:00+00:00,33647.965000000004,5.25,0.4160063391441292
9856,2016-02-03 06:15:00+00:00,33654.965000000004,7.0,0.5546751188588389
